# Mənbə: GeoNames (https://www.geonames.org) cities15000 — CC BY 4.0.
# Sütunlar: ad<TAB>qatlanmış adlar (|)<TAB>ölkə<TAB>enlik<TAB>uzunluq<TAB>hündürlük(m)
# Sıra ƏHALİYƏ görə azalandır — axtarış böyük şəhərləri əvvəl qaytarsın deyə;
# bu, ayrıca əhali sütunu saxlamağı lazımsız edir.
Chongqing	chongqing|cunkinq|congcing|chuntsin	CN	29.560	106.558	289
Shanghai	shanghai|sanxay|sanghay|shanhay	CN	31.222	121.458	12
Chengdu	chengdu|cengdu|chendu	CN	30.667	104.067	499
Beijing	beijing|pekin	CN	39.907	116.397	49
Guangzhou	guangzhou|quancjou|guanchzhou	CN	23.117	113.250	15
Shenzhen	shenzhen|sencjen|shenchzhen	CN	22.546	114.068	4
Kinshasa	kinshasa|kinsasa	CD	-4.328	15.314	281
Istanbul	istanbul|stambul	TR	41.014	28.950	39
Lagos	lagos|laqos	NG	6.454	3.395	11
Ho Chi Minh City	ho chi minh city|hosimin|hoshimin	VN	10.823	106.630	7
Tianjin	tianjin|tyantszin	CN	39.142	117.177	11
Wuhan	wuhan|vuhan|uhan	CN	30.583	114.267	20
Lahore	lahore|lahor	PK	31.558	74.351	216
Xi’an	xian|xi an|sian	CN	34.258	108.929	416
Mumbai	mumbai|mumbay	IN	19.073	72.883	8
Zhengzhou	zhengzhou|cjencjou|cengcou|chzhenchzhou	CN	34.758	113.649	104
São Paulo	sao paulo|san paulo|san paulu	BR	-23.547	-46.636	769
Mexico City	mexico city|ciudad de mexico|mehiko	MX	19.428	-99.128	2240
Hangzhou	hangzhou|xangzhou|hanchzhou	CN	30.294	120.161	12
Karachi	karachi|keraci|karaci	PK	24.861	67.010	8
Shijiazhuang	shijiazhuang|siciyajuang|shitszyachzhuan	CN	38.041	114.479	77
Delhi	delhi|dehli|deli	IN	28.652	77.231	227
Moscow	moscow|moskova|moskva	RU	55.752	37.618	155
Dhaka	dhaka|dekke|dakka	BD	23.710	90.407	23
Seoul	seoul|seul	KR	37.566	126.978	38
Harbin	harbin|harbinq	CN	45.750	126.650	140
Tokyo	tokyo|tokio	JP	35.690	139.692	44
Dongguan	dongguan|dunguan	CN	23.018	113.749	1
Cairo	cairo|qahire|kahire|kair	EG	30.063	31.250	23
Hefei	hefei|hefey	CN	31.864	117.281	24
Johannesburg	johannesburg|yohannesburq|yohannesburg	ZA	-26.202	28.044	1767
Weifang	weifang|veyfan	CN	36.710	119.102	30
Nanjing	nanjing|nankin	CN	32.062	118.778	22
Jinan	jinan|tszinan	CN	36.668	116.997	32
Shenyang	shenyang|senyanq|shenyan	CN	41.792	123.433	53
Changchun	changchun|cancun|cangcun|chanchun	CN	43.880	125.323	206
Foshan	foshan	CN	23.027	113.131	5
London	london|londra	GB	51.509	-0.126	25
New York City	new york city|new york kenti|nyu york	US	40.714	-74.006	10
Nanning	nanning|nanninq|nannin	CN	22.817	108.317	91
Jakarta	jakarta|cakarta|dzhakarta	ID	-6.215	106.845	16
Bengaluru	bengaluru|bangalor	IN	12.972	77.594	920
Kunming	kunming|kunminq|kunmin	CN	25.039	102.718	1895
Fuzhou	fuzhou|fucjou|fuchzhou	CN	26.061	119.306	14
